Hedemora, Husby och Garpenbergs församling;Västerås stift
Hedvig Eleonora och Oscars församling;Stockholms stift
Helsingborgs pastorat;Lunds stift
Herrestads församling;Göteborgs stift
Herrljungabygdens församling;Skara stift
Himledalens församling;Göteborgs stift
Hjo pastorat;Skara stift
Hjärnarp-Tåstarps församling;Lunds stift
Hofors församling;Uppsala stift
Holmsunds församling;Luleå stift
Hortlax församling;Luleå stift
Hovförsamlingen;Stockholms stift
Hovsta pastorat;Strängnäs stift
Huddinge pastorat;Stockholms stift
Hudiksvallsbygdens församling;Uppsala stift
Husby-Rekarne o Näshulta pastorat;Strängnäs stift
Huskvarna pastorat;Växjö stift
Hyltebruks pastorat;Växjö stift
Hägerstens församling;Stockholms stift
Häggenås-Lit-Kyrkås församling;Härnösands stift
Häljarps församling;Lunds stift
Hällby församling med Tumbo och Råby-Rekarne;Strängnäs stift
Härjedalens pastorat;Härnösands stift
Härnösands pastorat;Härnösands stift
Härnösands stift;Härnösands stift
Hässelby församling;Stockholms stift
Hässjö-Ljustorp-Tynderö pastorat;Härnösands stift
Hässleholms församling;Lunds stift
Håbo pastorat;Uppsala stift
Högalids församling;Stockholms stift
Höganäs församling;Lunds stift
Högsby pastorat;Växjö stift
Höks pastorat;Göteborgs stift
Hölö-Mörkö församling;Strängnäs stift
Hörby församling;Lunds stift
Hörnefors församling;Luleå stift
Höörs församling;Lunds stift
Idre-Särna församling;Västerås stift
Indalens pastorat;Härnösands stift
Istorps pastorat;Göteborgs stift
Jokkmokks församling;Luleå stift
Jämjö pastorat;Lunds stift
Jämshögs församling;Lunds stift
Järfälla församling;Stockholms stift
Järna med Nås och Äppelbo församling;Västerås stift
Järna-Vårdinge pastorat;Strängnäs stift
Jönköpings församling;Växjö stift
Kafjärdens församling;Strängnäs stift
Kalendertest externa leverantörer;Linköpings stift
Kalix församling;Luleå stift
Kalmar pastorat;Växjö stift
Karlsborgs pastorat;Skara stift
Karlshamns församling;Lunds stift
Karlskrona Amiralitetsförsamling;Lunds stift
Karlskrona-Aspö församling;Lunds stift
Karlstads pastorat;Karlstads stift
Karlstads stift;Karlstads stift
Katarina församling;Stockholms stift
Katrineholmsbygdens församling;Strängnäs stift
Kiladalens församling;Strängnäs stift
Kils pastorat;Karlstads stift
Kinda pastorat;Linköpings stift
Kinds pastorat;Göteborgs stift
Kinna-Fritsla församling;Göteborgs stift
Kinnarumma pastorat;Skara stift
Kiruna pastorat;Luleå stift
Kiviks församling;Lunds stift
Klinte pastorat;Visby stift
Klippans pastorat;Lunds stift
Knislinge pastorat;Lunds stift
Knista församling;Strängnäs stift
Knivsta pastorat;Uppsala stift
Kramfors pastorat;Härnösands stift
Kristianstads pastorat;Lunds stift
Kristinehamns församling;Karlstads stift
Krokoms pastorat;Härnösands stift
Kropps församling;Lunds stift
Kulla pastorat;Lunds stift
Kumla pastorat;Strängnäs stift
Kumla, Tärna och Kila församling;Västerås stift
Kungsbacka pastorat;Göteborgs stift
Kungsbacka-Hanhals församling;Göteborgs stift
Kungsängen-Västra Ryds församling;Uppsala stift
Kungsörs församling;Västerås stift
Kungälv-Ytterby församling;Göteborgs stift
Kvidinge församling;Lunds stift
Kvismare församling;Strängnäs stift
Kvistofta församling;Lunds stift
Kyrkhults församling;Lunds stift
Källstorps församling;Lunds stift
Kärna församling;Linköpings stift
Kävlinge församling;Lunds stift
Kågeröd-Röstånga församling;Lunds stift
Köpings pastorat;Västerås stift
Lackalänga-Stävie församling;Lunds stift
Lagunda församling;Uppsala stift
Laholms pastorat;Göteborgs stift
Landskrona församling;Lunds stift
Landvetter-Härryda pastorat;Göteborgs stift
Lekeryds församling;Växjö stift
Leksands pastorat;Västerås stift
Lerums församling;Göteborgs stift
Lessebo församling;Växjö stift
Lidingö församling;Stockholms stift
Lidköpings församling;Skara stift
Lilla Edets pastorat;Göteborgs stift
Lima-Transtrands församling;Västerås stift
Lindberga församling;Göteborgs stift
Linde-Ljusnarsbergs pastorat;Västerås stift
Lindome församling;Göteborgs stift
Linköpings domkyrkopastorat;Linköpings stift
Linköpings stift;Linköpings stift
Ljungby pastorat;Växjö stift
Ljungskile församling;Göteborgs stift
Ljunits församling;Lunds stift
Ljusnans pastorat;Uppsala stift
Lomma församling;Lunds stift
Ludvika församling;Västerås stift
