Stift;Enhet;Löneservice;Antal konton
Växjö stift;Högsby pastorat;Nej;14
Växjö stift;Lekeryds församling;Nej;13
Växjö stift;Markaryds församling;Nej;14
Växjö stift;Moheda pastorat;Nej;13
Växjö stift;Månsarps församling;Nej;19
Växjö stift;Mönsterås-Fliseryds pastorat;Nej;53
Växjö stift;Nässjö pastorat;Nej;59
Växjö stift;Rydaholms församling;Nej;11
Växjö stift;Södra Ölands pastorat;Nej;71
Växjö stift;Traryd-Hinneryds pastorat;Nej;10
Växjö stift;Vislanda-Blädinge församling;Nej;13
Växjö stift;Voxtorps pastorat;Nej;15
Växjö stift;Värnamo församling;Nej;42
Växjö stift;Ålems församling;Nej;13
