Stift;Enhet;Löneservice;Antal konton
Linköpings stift;Kärna församling;Nej;21
Linköpings stift;Linköpings domkyrkopastorat;Nej;240
Linköpings stift;Motala församling;Nej;72
Linköpings stift;Norra Tjusts pastorat;Nej;25
Linköpings stift;Norrköpings pastorat;Nej;284
Linköpings stift;Rimforsa församling;Nej;28
Linköpings stift;Slaka-Nykils pastorat;Nej;42
Linköpings stift;Söderköping S:t Anna församling;Nej;89
Linköpings stift;Södra Tjusts pastorat;Nej;141
Linköpings stift;Södra Vedbo pastorat;Nej;83
Linköpings stift;Södra Vi-Djursdala församling;Nej;9
Linköpings stift;Tranås pastorat;Nej;52
Linköpings stift;Vadstena pastorat;Nej;71
Linköpings stift;Valdemarsviks-Ringarums pastorat;Nej;26
Linköpings stift;Vikingstads församling;Nej;25
Linköpings stift;Vreta klosters församling;Nej;31
Linköpings stift;Västra Vikbolandets församling;Nej;16
Linköpings stift;Ydre pastorat;Nej;19
Linköpings stift;Åtvids församling;Nej;45
Linköpings stift;Östra Vikbolandets pastorat;Nej;24
Luleå stift;Arjeplog-Arvidsjaurs pastorat;Ja;29
Luleå stift;Bodens pastorat;Ja;76
Luleå stift;Bureå församling;Ja;19
Luleå stift;Burträsk-Lövångers pastorat;Ja;35
Luleå stift;Bygdeå församling;Ja;32
Luleå stift;Holmsunds församling;Ja;32
Luleå stift;Hortlax församling;Ja;30
Luleå stift;Hörnefors församling;Ja;26
Luleå stift;Kiruna pastorat;Ja;56
Luleå stift;Luleå domkyrkoförsamling;Ja;90
Luleå stift;Luleå stift;Ja;74
Luleå stift;Nederluleå församling;Ja;76
Luleå stift;Nordmalings församling;Ja;29
Luleå stift;Norrfjärdens församling;Ja;24
Luleå stift;Norsjö församling;Ja;12
Luleå stift;Pajala församling;Ja;25
Luleå stift;Piteå församling;Ja;131
Luleå stift;Råneå församling;Ja;12
Luleå stift;Sävar-Holmöns församling;Ja;89
Luleå stift;Södra Lapplands pastorat;Ja;97
Luleå stift;Tärna församling;Ja;8
Luleå stift;Umeå pastorat;Ja;300
Luleå stift;Vindelns församling;Ja;37
Luleå stift;Vännäs-Bjurholms pastorat;Ja;47
Luleå stift;Älvsby församling;Ja;16
Luleå stift;Övertorneå församling;Ja;11
Luleå stift;Gällivare församling;Nej;31
Luleå stift;Haparanda församling;Nej;18
Luleå stift;Jokkmokks församling;Nej;14
Luleå stift;Kalix församling;Nej;43
Luleå stift;Malå-Sorsele pastorat;Nej;24
Luleå stift;Skellefteå pastorat;Nej;118
Luleå stift;Skellefteå S:t Örjans församling;Nej;19
Luleå stift;Överkalix församling;Nej;8
Lunds stift;Allerums pastorat;Ja;48
Lunds stift;Asarum-Ringamåla församling;Ja;28
Lunds stift;Brunnby församling;Ja;12
Lunds stift;Brösarp-Tranås församling;Ja;14
Lunds stift;Båstad-Östra Karups församling;Ja;21
Lunds stift;Dalby församling;Ja;22
Lunds stift;Förslöv-Grevie församling;Ja;18
Lunds stift;Hjärnarp-Tåstarps församling;Ja;24
Lunds stift;Häljarps församling;Ja;20
Lunds stift;Höörs församling;Ja;42
Lunds stift;Karlskrona-Aspö församling;Ja;122
Lunds stift;Kropps församling;Ja;33
Lunds stift;Kvidinge församling;Ja;14
Lunds stift;Kävlinge församling;Ja;73
Lunds stift;Lackalänga-Stävie församling;Ja;14
Lunds stift;Landskrona församling;Ja;105
Lunds stift;Lunds pastorat;Ja;402
Lunds stift;Lunds stift;Ja;106
Lunds stift;Löddebygdens församling;Ja;26
Lunds stift;Malmö pastorat;Ja;773
Lunds stift;Skivarps församling;Ja;15
Lunds stift;Trelleborgs församling;Ja;56
Lunds stift;Tyringe församling;Ja;39
Lunds stift;Ängelholms församling;Ja;119
Lunds stift;Anderslövs församling;Nej;19
Lunds stift;Araslövs församling;Nej;11
Lunds stift;Barkåkra församling;Nej;19
Lunds stift;Bjuvs församling;Nej;30
Lunds stift;Bjärnums pastorat;Nej;21
Lunds stift;Bjärreds församling;Nej;18
Lunds stift;Björnekulla-Västra Broby församling;Nej;26
